#角色,邮箱,密码,公开用户名,全名,性别,邮寄地址,出生年份,最高教育程度,注册云考试平台的原因,学校
#逗号分割各个字段，其中最高教育程度对应下面的选项,比如博士就用p代表,,,,,,,,,
#p:博士,,,,,,,,,,
#m:硕士,,,,,,,,,,
#b:学士,,,,,,,,,,
#a:专科,,,,,,,,,,
#hs:高中,,,,,,,,,,
#jhs:初中,,,,,,,,,,
#el:小学,,,,,,,,,,
#none:无,,,,,,,,,,
#other:其他,,,,,,,,,,
学生,gs0001@163.com,B8m721NB,gs0001,gs0001,男,无锡东健,2014,p,无锡,先电
学生,gs0002@163.com,Q7ya05Wa,gs0002,gs0002,男,无锡东健,2014,p,无锡,先电
学生,gs0003@163.com,88013SQ7,gs0003,gs0003,男,无锡东健,2014,p,无锡,先电
学生,gs0004@163.com,B0j3yK5r,gs0004,gs0004,男,无锡东健,2014,p,无锡,先电
学生,gs0005@163.com,T4l7202o,gs0005,gs0005,男,无锡东健,2014,p,无锡,先电
学生,gs0006@163.com,6oxH0g23,gs0006,gs0006,男,无锡东健,2014,p,无锡,先电
学生,gs0007@163.com,OWjq47O0,gs0007,gs0007,男,无锡东健,2014,p,无锡,先电
学生,gs0008@163.com,N2rN7W44,gs0008,gs0008,男,无锡东健,2014,p,无锡,先电
学生,gs0009@163.com,5y3337Xp,gs0009,gs0009,男,无锡东健,2014,p,无锡,先电
学生,gs0010@163.com,0s7I6rM7,gs0010,gs0010,男,无锡东健,2014,p,无锡,先电
老师,gt0001@163.com,553WcO2I,gt0001,gt0001,男,无锡东健,2014,p,无锡,先电
老师,gt0002@163.com,601bH41C,gt0002,gt0002,男,无锡东健,2014,p,无锡,先电
老师,gt0003@163.com,h3n81Wjv,gt0003,gt0003,男,无锡东健,2014,p,无锡,先电
老师,gt0004@163.com,puP65OU4,gt0004,gt0004,男,无锡东健,2014,p,无锡,先电
老师,gt0005@163.com,3Ssj3Y1V,gt0005,gt0005,男,无锡东健,2014,p,无锡,先电
